app_id,game_name,genre
38600,Faerie Solitaire,Casual Indie
98300,Toy Soldiers,Action Casual
369990,"Gremlins, Inc.",Indie Strategy
414070,Shut Up And Dig,Action Adventure
111800,Blocks That Matter,Casual Indie
645260,Trophy Fishing 2,Free to Play Simulation
438680,One Troll Army,Casual Indie
491130,Red Trigger,Free to Play Indie
238280,Legend of Dungeon,Action Indie
436180,Spacelords,Action Adventure
322920,theHunter: Primal,Action Adventure
461910,Forge of Gods (RPG),Free to Play Massively Multiplayer
438020,AI: Rampage,Action Indie
464060,RUINER,Action Indie
406150,Refunct,Adventure Casual
111900,Guardians of Middle-earth,Action Strategy
314660,Oddworld: New 'n' Tasty,Action Adventure
278460,Skyborn,Casual RPG
396160,Secret Of Magia,Action Adventure
247240,Volgarr the Viking,Action Adventure
648430,Hand of the Gods,Free to Play Strategy
360380,Tiny Bridge: Ratventure,Adventure Indie
533620,STARUSHKO LUB,
410320,EARTH DEFENSE FORCE 4.1 The Shadow of New Despair,Action
244730,Divekick,Action Indie
327640,CaesarIA,Free to Play Indie
375910,Anno 2205,Simulation Strategy
22610,Alien Breed: Impact,Action
339340,Resident Evil 0 / biohazard 0 HD REMASTER,Action Adventure
425580,The Room Two,Adventure Indie
465520,PRICE,Adventure Casual
225280,Full Mojo Rampage,Action Indie
445220,Avorion,Action Indie
518100,Nanoborg,
608800,Guns of Icarus Alliance,Action Adventure
496460,Life is Feudal: Forest Village,Indie Simulation
460870,GOD EATER RESURRECTION,
596170,Magazine Editor,
558810,Doomed Kingdoms,Action Adventure
264380,Narcissu 1st & 2nd,Indie
463150,BARRIER X,Action Indie
227220,Sang-Froid - Tales of Werewolves,Action Adventure
705120,Death Coming,Adventure Casual
381120,Shoppe Keep,Adventure Indie
591960,Animation Throwdown: The Quest for Cards,Adventure Free to Play
244870,Electronic Super Joy,Action Indie
233700,Sword of the Stars: The Pit,Casual Indie
321360,Primal Carnage: Extinction,Action Indie
448630,Rabiez: Epidemic,Indie Strategy
503300,Super Star,Adventure Indie
446020,Jalopy - The Car Driving Road Trip Simulator Indie Game (公路旅行驾驶游戏),Adventure Indie
476480,Heaven Forest - VR MMO,Adventure Massively Multiplayer
575840,NeverEnd,Adventure Indie
431560,Hard Room,Action Indie
420790,StarBreak,Action Free to Play
434010,Wishmaster,Casual Indie
205650,The Testament of Sherlock Holmes,Adventure
486310,Meadow,Adventure Indie
586380,VITATIO 2,Adventure Casual
514660,BitMaster,Action Indie
35460,The Ball,Action Adventure
252630,Eldritch Reanimated,Action Adventure
92000,Hydrophobia: Prophecy,Action Adventure
15540,1... 2... 3... KICK IT! (Drop That Beat Like an Ugly Baby),Action Early Access
207080,Indie Game: The Movie,Indie
732430,Superflight,Action Casual
501300,What Remains of Edith Finch,Adventure Indie
247950,Sacred 3,Action RPG
266130,Breach & Clear,Action RPG
224460,Contrast,Adventure Indie
280220,Creeper World 3: Arc Eternal,Indie Simulation
258180,Deus Ex: The Fall,Action Adventure
275670,Space Run,Indie Strategy
366760,Adorables,Casual Indie
384490,NECROPOLIS: BRUTAL EDITION,Action Adventure
1530,Multiwinia,Indie
218410,Defender's Quest: Valley of the Forgotten (DX edition),Indie RPG
42170,Krater,Action Adventure
485390,Machine Made: Rebirth,Indie RPG
418650,Space Pirate Trainer,Action
461880,Hyposphere,Casual Indie
211580,Wanderlust: Rebirth,Action Adventure
312150,Wild Warfare,Action Free to Play
388120,Spakoyno: Back to the USSR 2.0,Adventure Casual
341000,Mad Games Tycoon,Casual Indie
378720,Thea: The Awakening,Indie RPG
259680,Tales of Maj'Eyal,Adventure Indie
9500,Gish,Indie
420530,OneShot,Adventure Casual
635730,Dragonia,Action RPG
214970,Intrusion 2,Action Indie
605530,PippiStory,Action Adventure
422870,Super Duper Flying Genocide 2017,Action Adventure
17740,Empires Mod,Action Free to Play
572520,Dropzone,Action Free to Play
332200,Axiom Verge,Action Adventure
260410,Get Off My Lawn!,Casual Free to Play
637850,Confess My Love,Adventure Free to Play
593290,Moccasin,Action Adventure
274520,Darkwood,Action Adventure
239250,Castlevania: Lords of Shadow 2,Action Adventure
320040,Moon Hunters,Adventure Indie
513590,So Many Cubes,Action Casual
248310,Freedom Planet,Action Indie
233610,Distance,Action Indie
360940,The Mean Greens - Plastic Warfare,Action Indie
